Name,Salary,Gender,Loan
Piggy Durrand,99290.79,Male,6040.87
Kelcy Geroldi,52249.95,Female,3552.53
Janet Westnedge,21479.49,Female,8717.08
Milt Harmour,82095.13,Male,7189.25
Esra Ceaplen,52586.55,Male,6635.24
Joyce Axelby,67035.71,Female,8981.11
Clayton Litster,71788.26,Male,2068.51
Bennie Eaton,21150.42,Female,6086.2
Zollie Biffen,49806.08,Male,3874.42
Gerty Brunnstein,80978.75,Female,8208.78
Nickie Barefoot,,Female,6715.14
Nedi Casbourne,39768.98,Female,9999.2
Dillon Iacobacci,77004.46,Male,6283.62
Tobi Armatage,49537.27,Female,8162.54
Vail Stockton,97682.87,Male,3561.14
Lenci Draycott,92200.95,,5251.44
Friedrick Longley,81838.46,Male,
Garvy Deason,69006.72,Male,8087.54
Ashley Pain,38469.17,Female,8616.8
Fayth Tremblet,47882.09,Female,8677.59
Benoite Conelly,38786.62,Female,6483.83
Lorens McGaraghan,,Male,9927.04
Jamesy Maffia,94868.75,Male,3523.43
Ervin Farre,96340.6,Male,9421.89
Dennie Speer,60300.25,Female,8595.99
Filmore Mathely,33039.21,Male,9032.67
Genevra Clubley,63146.52,Female,8952.84
Zacharia Rawnsley,29465.76,Male,
Theobald L' Anglois,24050.63,Male,2041.22
Heywood Scone,70731.28,Male,2787.28
Kate Sloss,88986.54,Female,7377.5
Lind Clemenzo,,Male,
Lucine Rikard,92981.36,,7294.93
Rebekah Tithacott,,Female,
Cyrill Bert,,Male,9575.08
Louisette Crewther,25736.19,Female,2745.53
Aleece Hacquoil,20971.08,Female,8087.33
Cornie Delgadillo,45902.99,Female,9625.92
Herc Blackater,35459.34,Male,7459.6
Kasey Baddeley,,Female,6452.96
Meghan O'Deegan,,Female,8309.63
Hasty Suckling,66533.06,,2950.96
Gabbie Bellward,30354.66,Female,
Antin McNeilley,67290.73,Male,5591.2
Lion Keld,61337.71,Male,7265.16
Archambault Nucator,49445.85,Male,9175.58
Carney Colleer,58960.05,Male,8638.37
Stephenie Bruyet,42067.37,Female,8993.13
Dannie Schwandt,79456.39,Female,4446.6
Torrence Olivi,61938.55,Male,5472.25
Nelson Wilgar,68636.6,Male,6823.95
Rosanna Jinkins,30997.49,,6061.45
Alma Sperling,58108.82,Female,2488.37
Farrah Greschke,28747.89,Female,4006.89
Ross Blas,39049.14,Male,2277.1
Debera Garci,58252.13,Female,9287.5
Owen Guitt,23232.84,Male,4815.69
Sonny Aleveque,87397.25,Male,8930.54
Basia Larver,95631.68,Female,2395.04
Lorenzo Lamberteschi,80532.82,Male,3935.72
Dottie Motte,59844.77,Female,4981.57
Cherish Erricker,23541.95,,5986.89
Vikky Gamil,93555.56,Female,4736.52
Damara Kleinhausen,72284.97,Female,4898.11
Hale Shouler,85758.49,Male,2894.91
Mildred Odby,31705.64,Female,3306.81
Levon Avey,31701.64,Male,3346.22
Giovanna Medforth,39779.87,Female,7003.3
Noelani Rosewarne,67252.3,Female,9160.03
Lizbeth Borlease,63951.56,Female,5842.32
Cortie Bohlin,26645.07,Male,3603.68
Ethe Coils,60839.52,Male,5004.63
Vassili Stanlack,34554.22,Male,7908.64
Laverna Horsley,79602.08,Female,7361.62
Ozzie Buchett,24317.93,Male,6672.84
Xenia O'Gleasane,22139.81,Female,3353.52
Berta Viscovi,64490.81,Female,8431.29
Kat Shawley,69177.49,Female,2085.51
Filberto Snoddy,30546.76,Male,7083.96
Delmore Tokley,58397.27,Male,9844.31
Durand Cattermoul,32404.67,Male,7964.21
Daniella Constance,31535.29,Female,4068.02
Aloysia Andrin,39166.25,Female,9964.63
Justine McLay,87027.53,Female,4389.68
Aloysius Lawlie,45757.63,Male,7184.87
Robby Realph,69431.47,Male,8963.06
Mariann Keating,45639.2,Female,3253.2
Corenda Ackermann,68912.37,,9518.15
Leoline Arnison,35875.44,,9713.63
Denys Baldacchino,25711.76,Female,6099.59
Tildie Gudgeon,32837.66,Female,9975.77
Eirena Jeal,49819.69,Female,4173.08
Valma Burnside,39723.57,Female,9955.53
Shalna Imm,89463.17,Female,8781.73
Kelcie Rominov,30026.03,Female,4380.8
Laraine Richards,31778.83,Female,7209.3
Melina Magnus,94280.49,Female,8433.89
Robinette Buxey,27444.49,Female,5924.04
Filberto Vigneron,42770.73,Male,3949.51
Aura Reasun,53407.52,Female,4161.1
